tr0001,st0001,4,19-11-2022,b
tr0002,st0002,4,19-11-2022,b
tr0003,st0002,4,19-11-2022,r
tr0004,st0001,4,19-11-2022,b
tr0005,st0001,4,19-11-2022,b
tr0006,st0001,9,19-11-2022,b
tr0007,st0002,9,19-11-2022,b
tr0008,st0002,9,19-11-2022,b
tr0009,st0002,9,19-11-2022,b
tr0010,st0002,9,19-11-2022,r
tr0011,st0001,9,19-11-2022,r
tr0012,st0001,4,19-11-2022,r
tr0013,st0001,9,19-11-2022,b
tr0014,st0001,9,19-11-2022,b
tr0015,st0001,9,19-11-2022,r
tr0016,st0002,9,19-11-2022,b
tr0017,st0002,9,19-11-2022,r
tr0018,st0002,9,19-11-2022,b
tr0019,st0002,9,19-11-2022,b
tr0020,st0002,9,19-11-2022,b
tr0021,st0002,9,19-11-2022,r
tr0022,st0002,9,19-11-2022,b
tr0023,st0002,9,19-11-2022,b
tr0024,st0002,9,19-11-2022,r
tr0025,st0001,9,19-11-2022,b
tr0026,st0001,9,19-11-2022,b
tr0027,st0001,9,19-11-2022,b
tr0028,st0001,9,19-11-2022,r
tr0029,st0001,9,19-11-2022,b
tr0030,st0001,9,19-11-2022,b
tr0031,st0001,9,19-11-2022,b
tr0032,st0001,9,19-11-2022,r
tr0033,st0001,9,19-11-2022,r
tr0034,st0001,9,19-11-2022,r
tr0035,st0001,9,19-11-2022,b
tr0036,st0001,8,19-11-2022,b
tr0037,st0001,8,19-11-2022,b
tr0038,st0001,5,19-11-2022,b
tr0039,st0001,5,19-11-2022,r
tr0040,st0001,8,19-11-2022,r
tr0041,st0001,8,19-11-2022,r
tr0042,st0001,9,19-11-2022,r
tr0043,st0001,9,19-11-2022,b
tr0044,st0001,8,19-11-2022,b
tr0045,st0001,5,19-11-2022,b
tr0046,st0001,5,19-11-2022,r
tr0047,st0001,8,19-11-2022,r
tr0048,st0001,9,19-11-2022,r
tr0049,st0001,9,19-11-2022,b
tr0050,st0001,9,19-11-2022,r
tr0051,st0001,9,19-11-2022,b
tr0052,st0001,9,19-11-2022,r
tr0053,st0001,9,20-11-2022,b
tr0054,st0001,9,20-11-2022,r
tr0055,st0001,9,20-11-2022,b
tr0056,st0001,8,20-11-2022,b
tr0057,st0001,8,20-11-2022,b
tr0058,st0001,9,20-11-2022,r
tr0059,st0001,8,20-11-2022,r
tr0060,st0001,8,20-11-2022,r
tr0061,st0002,5,20-11-2022,b
tr0062,st0002,5,20-11-2022,r
tr0063,st0002,4,20-11-2022,r
tr0064,st0002,9,20-11-2022,r
tr0065,st0002,9,20-11-2022,r
tr0066,st0003,5,20-11-2022,b
tr0067,st0003,5,20-11-2022,r
tr0068,st0002,9,20-11-2022,r
tr0069,st0002,9,20-11-2022,r
tr0070,st0001,8,20-11-2022,r
tr0071,st0001,5,20-11-2022,b
tr0072,st0001,5,20-11-2022,b
tr0073,st0001,5,20-11-2022,b
tr0074,st0001,5,20-11-2022,b
tr0075,st0001,5,20-11-2022,b
tr0076,st0002,9,20-11-2022,r
tr0077,st0001,2,20-11-2022,b
tr0078,st0001,4,20-11-2022,b
tr0079,st0001,4,20-11-2022,b
tr0080,st0001,4,20-11-2022,r
tr0081,st0001,4,20-11-2022,r
tr0082,st0001,4,20-11-2022,r
tr0083,st0001,2,20-11-2022,r
tr0084,st0001,5,20-11-2022,r
tr0085,st0001,4,20-11-2022,r
tr0086,st0001,4,20-11-2022,r
tr0087,st0001,5,20-11-2022,r
tr0088,st0001,5,20-11-2022,r
tr0089,st0001,4,20-11-2022,r
tr0090,st0001,5,20-11-2022,r
tr0091,st0001,5,20-11-2022,r
tr0092,st0001,5,20-11-2022,r
tr0093,st0001,5,20-11-2022,r
tr0094,st0001,5,20-11-2022,r
tr0095,st0001,5,20-11-2022,r
tr0096,st0013,2,20-11-2022,b
tr0097,st0013,2,20-11-2022,r
tr0098,st0001,2,20-11-2022,b
tr0099,st0001,2,20-11-2022,r
tr0100,st0001,8,20-11-2022,r
tr0101,st0001,9,20-11-2022,r
tr0102,st0001,9,20-11-2022,r
tr0103,st0001,9,20-11-2022,r
tr0104,st0014,2,20-11-2022,b
tr0105,st0014,2,20-11-2022,r
tr0106,st0014,2,20-11-2022,b
tr0107,st0001,1,20-11-2022,b
tr0108,st0001,1,20-11-2022,b
tr0109,st0001,1,20-11-2022,r
tr0110,st0001,1,20-11-2022,b
tr0111,st0001,1,20-11-2022,r
tr0112,st0001,1,20-11-2022,r
tr0113,st0001,1,20-11-2022,b
tr0114,st0001,1,20-11-2022,r
tr0115,st0001,1,20-11-2022,b
tr0116,st0001,1,20-11-2022,r
tr0117,st0001,9,20-11-2022,r
tr0118,st0002,9,20-11-2022,r
tr0119,st0002,1,20-11-2022,b
tr0120,st0002,1,20-11-2022,r
tr0121,st0001,8,20-11-2022,r
tr0122,st0001,9,20-11-2022,r
tr0123,st0001,9,20-11-2022,r
tr0124,st0001,9,20-11-2022,r
tr0125,st0001,1,20-11-2022,b
tr0126,st0001,1,20-11-2022,r
tr0127,st0001,8,20-11-2022,r
tr0128,st0001,9,20-11-2022,r
tr0129,st0001,1,20-11-2022,b
tr0130,st0002,12,20-11-2022,b
tr0131,st0002,12,20-11-2022,r
tr0132,st0011,4,21-11-2022,b
tr0133,st0011,4,21-11-2022,r
tr0134,st0011,4,21-11-2022,b
tr0135,st0011,4,21-11-2022,r
tr0136,st0001,1,22-11-2022,r
tr0137,st0001,9,22-11-2022,r
tr0138,st0001,5,22-11-2022,b
tr0139,st0001,8,22-11-2022,r
tr0140,st0001,9,22-11-2022,r
tr0141,st0001,1,22-11-2022,b
tr0142,st0001,1,23-11-2022,r
tr0143,st0001,1,23-11-2022,r
tr0144,st0001,5,23-11-2022,r
tr0145,st0001,8,23-11-2022,r
tr0146,st0001,9,23-11-2022,r
tr0147,st0001,8,23-11-2022,r
tr0148,st0001,8,23-11-2022,r
tr0149,st0001,8,23-11-2022,r
tr0150,st0001,5,23-11-2022,b
tr0151,st0001,1,23-11-2022,b
tr0152,st0001,1,23-11-2022,r
tr0153,st0001,8,23-11-2022,r
tr0154,st0001,9,23-11-2022,r
tr0155,st0001,9,23-11-2022,r
tr0156,st0001,9,23-11-2022,r
tr0157,st0001,9,23-11-2022,r
tr0158,st0001,5,30-11-2022,r
tr0159,st0001,9,10-12-2022,r
tr0160,st0011,5,10-12-2022,b
tr0161,st0011,5,10-12-2022,r
tr0162,st0001,16,11-12-2022,b
tr0163,st0001,16,11-12-2022,r
tr0164,st0001,15,11-12-2022,b
tr0165,st0001,5,15-12-2022,b
tr0166,st0001,5,15-12-2022,r
tr0167,st0001,9,15-12-2022,r
tr0168,st0001,9,15-12-2022,r
tr0169,st0004,12,15-12-2022,b
tr0170,st0004,12,15-12-2022,r
tr0171,st0004,5,15-12-2022,b
